e,country,city,line,start_year,end_year,rr,length,tunnel_per,stations,cost,currency,year,ppp_rate,real_cost,cost_km_millions,continent
7136.0,CA,Vancouver,Broadway,2020.0,2025.0,0.0,5.7,87.72,6.0,2830.0,CAD,2018.0,0.84,2377.2,417.0526316,North America
7137.0,CA,Toronto,Vaughan,2009.0,2017.0,0.0,8.6,100.0,6.0,3200.0,CAD,2013.0,0.81,2592.0,301.3953488,North America
7138.0,CA,Toronto,Scarborough,2020.0,2030.0,0.0,7.8,100.0,3.0,5500.0,CAD,2018.0,0.84,4620.0,592.3076923,North America
7139.0,CA,Toronto,Ontario,2020.0,2030.0,0.0,15.5,57.0,15.0,8573.0,CAD,2019.0,0.84,7201.32,464.6012903,North America
7144.0,CA,Toronto,Yonge to Richmond Hill,2020.0,2030.0,0.0,7.4,100.0,6.0,5600.0,CAD,2020.0,0.84,4704.0,635.6756757,North America
7145.0,NL,Amsterdam,North-South,2003.0,2018.0,0.0,9.7,73.0,8.0,3100.0,EUR,2009.0,1.3,4030.0,415.4639175,Europe
7146.0,CA,Montreal,Blue Line extension,2020.0,2026.0,0.0,5.8,100.0,5.0,4500.0,CAD,2018.0,0.84,3780.0,651.7241379,North America
7147.0,US,Seattle,U-Link,2009.0,2016.0,0.0,5.1,100.0,2.0,1756.0,USD,2012.0,1.0,1756.0,344.3137255,North America
7152.0,US,Los Angeles,Purple Phase 3,2020.0,2027.0,0.0,4.2,100.0,2.0,3600.0,USD,2023.0,1.0,3600.0,857.1428571,North America
7153.0,US,Los Angeles,Purple Phase 2,2018.0,2026.0,0.0,4.2,100.0,2.0,2400.0,USD,2021.0,1.0,2400.0,571.4285714,North America
7154.0,US,Los Angeles,Purple Phase 1,2014.0,2023.0,0.0,6.3,100.0,3.0,2800.0,USD,2018.0,1.0,2800.0,444.4444444,North America
7155.0,US,Los Angeles,Regional Connector,2014.0,2022.0,0.0,3.1,100.0,3.0,1756.0,USD,2018.0,1.0,1756.0,566.4516129,North America
7160.0,US,San Francisco,Central Subway,2010.0,2021.0,0.0,2.7,100.0,4.0,1670.0,USD,2014.0,1.0,1670.0,618.5185185,North America
7161.0,US,Boston,Green Line Extension,2012.0,2021.0,0.0,7.6,0.0,7.0,2289.0,USD,2020.0,1.0,2289.0,301.1842105,North America
7162.0,CA,Ottawa,Confederation,2013.0,2019.0,0.0,12.5,20.0,13.0,2100.0,CAD,2016.0,0.83,1743.0,139.44,North America
7163.0,US,San Jose,BART,2022.0,2030.0,0.0,9.6,83.0,4.0,6900.0,USD,2026.0,1.0,6900.0,718.75,North America
7168.0,BG,Sofia,Line 1 northern,2009.0,2012.0,0.0,5.1,60.0,4.0,407.0,BGN,2010.0,1.69,687.83,134.8686275,Europe
7169.0,BG,Sofia,Line 1 southern,2013.0,2015.0,0.0,3.0,100.0,3.0,44.0,EUR,2014.0,3.32,146.08,48.69333333,Europe
7170.0,BG,Sofia,Line 2,2008.0,2012.0,0.0,17.0,90.0,11.0,952.0,EUR,2010.0,3.32,3160.64,185.92,Europe
7171.0,BG,Sofia,Line 2 extension,2012.0,2016.0,0.0,1.3,100.0,1.0,21.0,EUR,2014.0,3.32,69.72,53.63076923,Europe
7176.0,BG,Sofia,Line 3,2016.0,2021.0,0.0,12.0,100.0,12.0,500.0,EUR,2018.0,3.32,1660.0,138.3333333,Europe
7177.0,BG,Sofia,Line 3 extension (Third Stage),2021.0,2020.0,0.0,3.1,100.0,4.0,113.0,EUR,2021.0,3.32,373.5,120.483871,Europe
7178.0,PL,Warsaw,Line 2,2010.0,2015.0,0.0,6.5,100.0,7.0,5900.0,PLN,2012.0,0.557,3286.3,505.5846154,Europe
7179.0,PL,Warsaw,Line 2 extension to Trocka,2015.0,2019.0,0.0,3.1,100.0,3.0,1070.0,PLN,2017.0,0.576,616.32,198.8129032,Europe
7184.0,PL,Warsaw,Line 2 extenision to KJ,2015.0,2020.0,0.0,3.4,100.0,3.0,1148.0,PLN,2017.0,0.576,661.248,194.4847059,Europe
7185.0,PL,Warsaw,Line 2 extension to Bródno,2018.0,2022.0,0.0,4.0,100.0,3.0,1400.0,PLN,2020.0,0.571,799.4,199.85,Europe
7186.0,RO,Bucharest,Line 5,2014.0,2019.0,0.0,6.9,100.0,10.0,3122.0,RON,2016.0,0.596,1860.712,269.6684058,Europe
7187.0,RU,Moscow,Line 11,2017.0,2023.0,0.0,66.7,100.0,31.0,501000.0,RUB,2018.0,0.04,20040.0,300.4497751,Europe
7193.0,RU,Nizhniy Novgorod,Line 2 extension,2015.0,2018.0,0.0,2.5,100.0,1.0,11000.0,RUB,2016.0,0.041,451.0,180.4,Europe
7194.0,RU,Saint Petersburg,Line 3 extension,2014.0,2018.0,0.0,5.0,100.0,2.0,37000.0,RUB,2016.0,0.041,1517.0,303.4,Europe
7195.0,RU,Saint Petersburg,Line 5 extension,2013.0,2019.0,0.0,6.4,97.0,3.0,44600.0,RUB,2016.0,0.041,1828.6,285.71875,Europe
7200.0,RU,Moscow,Line 1 extension,2016.0,2019.0,0.0,11.6,14.0,3.0,41033.0,RUB,2018.0,0.04,1641.31476,141.4926517,Europe
7201.0,CZ,Prague,Line A extension,2010.0,2015.0,0.0,6.1,100.0,4.0,20200.0,CZK,2012.0,0.0752,1519.04,249.0229508,Europe
7202.0,HU,Budapest,Line 4,2006.0,2014.0,0.0,7.4,100.0,10.0,452000.0,HUF,2010.0,0.00792,3579.84,483.7621622,Europe
7203.0,FR,Toulouse,Line 3,2021.0,2025.0,0.0,27.0,60.0,21.0,2670.0,EUR,2016.0,1.3,3471.0,128.5555556,Europe
7208.0,IT,Turin,Line 1 phases 1-3,2000.0,2011.0,0.0,13.2,100.0,21.0,1046.0,EUR,2005.0,1.25,1307.625,99.0625,Europe
7209.0,IT,Turin,Line 1 south (phase 4),2012.0,2021.0,0.0,1.9,100.0,2.0,194.0,EUR,2016.0,1.3,251.55,132.3947368,Europe
7210.0,IT,Turin,Line 1 west (phase 5),2018.0,2024.0,0.0,3.4,100.0,4.0,304.0,EUR,2020.0,1.3,395.59,116.35,Europe
7211.0,FI,Helsinki,West Metro,2009.0,2017.0,0.0,13.5,100.0,8.0,1186.0,EUR,2013.0,1.3,1541.8,114.2074074,Europe
7216.0,FI,Helsinki,Ring Rail Line,2009.0,2015.0,1.0,18.0,44.0,5.0,774.0,EUR,2012.0,1.3,1005.94,55.88555556,Europe
7217.0,SE,Stockholm,Arenastaden,2020.0,2030.0,0.0,4.1,100.0,2.0,4700.0,SEK,2025.0,0.115,540.5,131.8292683,Europe
7218.0,SE,Stockholm,Nacka/Söderort,2020.0,2030.0,0.0,11.5,100.0,6.0,14400.0,SEK,2025.0,0.115,1656.0,144.0,Europe
7219.0,SE,Stockholm,Barkarby,2020.0,2026.0,0.0,3.3,100.0,2.0,3300.0,SEK,2023.0,0.115,379.5,115.0,Europe
7224.0,SE,Stockholm,Citybanan,2007.0,2017.0,1.0,7.4,81.0,2.0,16800.0,SEK,2007.0,0.1125,1890.0,255.4054054,Europe
7225.0,SE,Malmo,Citytunneln,2005.0,2010.0,1.0,17.0,35.0,3.0,8450.0,SEK,2001.0,0.106,895.7,52.68823529,Europe
7226.0,UK,London,Northern Line Extension,2015.0,2021.0,0.0,3.2,100.0,2.0,1200.0,GBP,2017.0,1.47,1764.0,551.25,Europe
7227.0,MX,Mexico City,Line 12,2008.0,2012.0,0.0,24.5,43.0,20.0,47906.0,MXN,2010.0,0.13,6227.78,254.195102,North America
7232.0,TW,Taipei,Wanda Line Phase 2,2021.0,2028.0,0.0,13.3,21.05,13.0,55530.0,TWD,2018.0,0.068,3776.04,283.912782,Asia
7233.0,IT,Milan,Line 5 phase 1,2007.0,2013.0,0.0,6.1,100.0,9.0,557.0,EUR,2010.0,1.3,724.1,118.704918,Europe
7234.0,IT,Milan,Line 5 phase 2,2010.0,2015.0,0.0,6.5,100.0,10.0,796.0,EUR,2012.0,1.3,1034.8,159.2,Europe
7235.0,IT,Milan,Line 4,2015.0,2023.0,0.0,15.2,100.0,21.0,1697.0,EUR,2019.0,1.3,2205.71,145.1125,Europe
7240.0,FR,Paris,GPX,2017.0,2030.0,0.0,200.0,80.0,68.0,35080.0,EUR,2012.0,1.3,45604.0,228.02,Europe
7241.0,IT,Milan,Passante Railway,1984.0,2008.0,1.0,13.0,60.0,10.0,915.0,EUR,1996.0,1.3,1189.5,91.5,Europe
7242.0,VN,Hanoi,Line 3,2010.0,2013.0,0.0,12.5,32.0,12.0,36000000.0,VND,2016.0,0.000126,4536.0,362.88,Asia
7243.0,VN,Hanoi,Line 2,2011.0,2020.0,0.0,11.5,74.0,12.0,19555000.0,VND,2015.0,0.000126,2463.93,214.2547826,Asia
7248.0,KR,Seoul,Sinbundang,2005.0,2011.0,0.0,17.3,100.0,6.0,1169000.0,KRW,2002.0,0.0013,1519.7,87.84393064,Asia
7249.0,KR,Seoul,Sinbundang phase 2,2011.0,2018.0,0.0,12.8,100.0,7.0,1025500.0,KRW,2006.0,0.0013,1333.15,104.1523438,Asia
7250.0,MX,Guadalajara,Line 3,2014.0,2020.0,0.0,21.5,25.0,18.0,31500.0,MXN,2017.0,0.106,3339.0,155.3023256,North America
7251.0,DE,Leipzig,City Tunnel,2003.0,2013.0,1.0,3.6,100.0,4.0,960.0,EUR,2008.0,1.3,1248.0,346.6666667,Europe
7256.0,IT,Rome,Line B1 extension,2010.0,2015.0,0.0,3.9,100.0,3.0,527.0,EUR,2012.0,1.3,685.49,175.7666667,Europe
7257.0,IT,Rome,Line C - section T6a,2007.0,2013.0,0.0,2.8,100.0,4.0,399.0,EUR,2010.0,1.3,518.7,185.25,Europe
7258.0,IT,Rome,Line C - section T4-5,2007.0,2013.0,0.0,7.3,100.0,9.0,1090.0,EUR,2010.0,1.3,1417.0,194.109589,Europe
7259.0,IT,Rome,Line C - section T3,2013.0,2023.0,0.0,2.8,100.0,2.0,735.0,EUR,2018.0,1.3,955.5,341.25,Europe
7264.0,DE,Berlin,U55,2004.0,2009.0,0.0,1.8,100.0,3.0,320.0,EUR,2006.0,1.3,416.0,231.1111111,Europe
7265.0,DE,Berlin,U5-U55 connection,2010.0,2020.0,0.0,2.2,100.0,3.0,525.0,EUR,2015.0,1.3,682.5,310.2272727,Europe
7266.0,BE,Brussels,Line 3,2020.0,2028.0,0.0,4.4,100.0,7.0,900.0,EUR,2024.0,1.3,1170.0,265.9090909,Europe
7267.0,DK,Copenhagen,City Circle Line,2009.0,2019.0,0.0,15.5,100.0,17.0,25300.0,DKK,2014.0,0.138,3491.4,225.2516129,Europe
7272.0,NO,Oslo,Løren Line,2013.0,2016.0,0.0,1.6,100.0,1.0,1330.0,NOK,2014.0,0.107,142.31,88.94375,Europe
7273.0,NO,Oslo,Fornebu Line,2020.0,2027.0,0.0,8.2,100.0,6.0,16000.0,NOK,2020.0,0.1,1600.0,195.1219512,Europe
7274.0,AU,Sydney,Metro City & SW,2017.0,2024.0,0.0,30.0,51.0,7.0,15500.0,AUD,2021.0,0.69,10695.0,356.5,Australia
7275.0,AU,Sydney,Metro NW,2013.0,2019.0,0.0,36.0,42.0,13.0,7800.0,AUD,2016.0,0.69,5382.0,149.5,Australia
7280.0,AU,Melbourne,Metro Tunnel,2018.0,2025.0,0.0,9.0,100.0,5.0,11000.0,AUD,2021.0,0.69,7590.0,843.3333333,Australia
7281.0,SG,Singapore,Downtown MRT Line,2008.0,2017.0,0.0,41.9,100.0,34.0,21000.0,SGD,2012.0,1.18,24780.0,591.4081146,Asia
7282.0,SG,Singapore,Thomson MRT Line,2014.0,2024.0,0.0,43.0,100.0,32.0,25000.0,SGD,2019.0,1.13,28250.0,656.9767442,Asia
7283.0,CA,Toronto,Eglinton Crosstown,2011.0,2022.0,0.0,19.0,53.0,25.0,5300.0,CAD,2016.0,0.83,4399.0,231.5263158,North America
7288.0,IN,Mumbai,Monorail,2009.0,2019.0,0.0,20.2,0.0,17.0,30000.0,INR,2014.0,0.054,1620.0,80.1980198,Asia
7289.0,IN,Mumbai,Line 3,2016.0,2022.0,0.0,33.5,100.0,27.0,320000.0,INR,2019.0,0.047,15040.0,448.9552239,Asia
7290.0,IN,Mumbai,Line 2A,2016.0,2021.0,0.0,18.6,0.0,17.0,64100.0,INR,2018.0,0.048,3076.8,165.4193548,Asia
7291.0,IN,Mumbai,Line 2B,2018.0,2023.0,0.0,23.5,0.0,22.0,109860.0,INR,2020.0,0.047,5163.42,219.72,Asia
7296.0,IN,Mumbai,Line 4,2018.0,2022.0,0.0,32.3,0.0,32.0,145490.0,INR,2020.0,0.047,6838.03,211.7037152,Asia
7297.0,IN,Mumbai,Line 4A,2019.0,2022.0,0.0,2.7,0.0,2.0,7860.0,INR,2017.0,0.048,377.28,139.7333333,Asia
7298.0,IN,Mumbai,Line 5,2017.0,2024.0,0.0,24.9,0.0,16.0,84165.0,INR,2020.0,0.047,3955.755,158.8656627,Asia
7299.0,IN,Mumbai,Line 6,2017.0,2022.0,0.0,14.5,0.0,13.0,55670.0,INR,2016.0,0.05,2783.5,191.9655172,Asia
7304.0,IN,Mumbai,Line 7,2016.0,2021.0,0.0,16.5,0.0,16.0,62080.0,INR,2018.0,0.048,2979.84,180.5963636,Asia
7305.0,IN,Mumbai,Line 7A + 9,2019.0,2022.0,0.0,13.5,16.0,11.0,65180.0,INR,2020.0,0.047,3063.46,226.922963,Asia
7306.0,IN,Mumbai,Line 10,2020.0,2024.0,0.0,9.2,8.0,4.0,38210.0,INR,2018.0,0.048,1834.08,199.3565217,Asia
7307.0,IN,Mumbai,Line 11,2020.0,2026.0,0.0,12.8,69.0,10.0,70850.0,INR,2018.0,0.048,3400.8,265.6875,Asia
7312.0,IN,Mumbai,Line 12,2020.0,2026.0,0.0,20.8,0.0,17.0,47380.0,INR,2018.0,0.048,2274.24,109.3384615,Asia
7313.0,GR,Athens,Line 4,2019.0,2027.0,0.0,12.8,100.0,15.0,1328.0,EUR,2023.0,1.3,1726.4,134.875,Europe
7314.0,GR,Athens,Line 3 to Piraeus,2012.0,2021.0,0.0,7.6,100.0,6.0,742.0,EUR,2016.0,1.3,964.6,126.9210526,Europe
7315.0,GR,Thessaloniki,Main line,2006.0,2020.0,0.0,9.5,100.0,13.0,1112.0,EUR,2014.0,1.3,1445.6,152.1684211,Europe
7320.0,GR,Thessaloniki,Kalamaria Extension,2013.0,2021.0,0.0,4.8,100.0,5.0,567.0,EUR,2017.0,1.3,737.1,153.5625,Europe
7321.0,KR,Busan,Line 1 extension,2009.0,2017.0,0.0,8.0,100.0,6.0,959000.0,KRW,2013.0,0.00115,1102.85,137.85625,Asia
7322.0,KR,Seoul,Gimpo Urban Railway,2014.0,2019.0,0.0,23.7,100.0,10.0,1655300.0,KRW,2016.0,0.00116,1920.148,81.01890295,Asia
7323.0,KR,Seoul,Line 7 extension,2014.0,2021.0,0.0,3.9,100.0,2.0,432100.0,KRW,2017.0,0.0011,475.31,121.874359,Asia
7328.0,KR,Seoul,2020s program,2020.0,2028.0,0.0,71.0,100.0,53.0,7230200.0,KRW,2024.0,0.0011,7953.22,112.0171831,Asia
7329.0,SG,Singapore,Circle Line Stage 6,2017.0,2025.0,0.0,4.0,100.0,3.0,4850.0,SGD,2021.0,1.13,5480.5,1370.125,Asia
7330.0,FR,Paris,Line 12 to Aubervilliers,2012.0,2021.0,0.0,1.7,100.0,2.0,175.0,EUR,2006.0,1.25,218.875,128.75,Europe
7331.0,FR,Paris,Line 1 extension,2020.0,2030.0,0.0,4.9,100.0,3.0,910.0,EUR,2012.0,1.3,1183.0,241.4285714,Europe
7336.0,UK,London,Jubilee line extension,1993.0,1999.0,0.0,16.0,80.0,11.0,3500.0,GBP,1996.0,1.4,4900.0,306.25,Europe
7337.0,CL,Santiago,Line 7,2021.0,2026.0,0.0,24.8,100.0,21.0,2900.0,USD,2022.0,1.7,4930.0,198.7903226,South America
7338.0,CL,Santiago,Project 63,2013.0,2019.0,0.0,37.0,100.0,28.0,3000.0,USD,2016.0,1.7,5100.0,137.8378378,South America
7339.0,BR,Sao Paulo,Line 5 extension,2010.0,2019.0,0.0,12.0,100.0,11.0,6900.0,BRL,2014.0,0.55,3795.0,316.25,South America
7344.0,BR,Salvador,Lines 1-2,2000.0,2017.0,0.0,33.0,4.0,20.0,4800.0,BRL,2012.0,0.62,2976.0,90.18181818,South America
7345.0,PA,Panama City,Line 1,2010.0,2014.0,0.0,13.7,53.0,12.0,2009.0,USD,2012.0,1.74,3495.66,255.1576642,North America
7346.0,PA,Panama City,Line 2,2015.0,2019.0,0.0,21.0,0.0,16.0,2130.0,USD,2017.0,2.01,4281.3,203.8714286,North America
7347.0,PA,Panama City,Line 3,2020.0,2024.0,0.0,26.7,0.0,14.0,2507.0,USD,2020.0,2.08,5214.56,195.3018727,North America
7352.0,PH,Manila,Line 9,2019.0,2025.0,0.0,28.3,100.0,13.0,356960.0,PHP,2022.0,0.055,19632.8,693.7385159,Asia
7353.0,PH,Manila,Line 7,2015.0,2021.0,0.0,22.8,15.0,14.0,69300.0,PHP,2018.0,0.055,3811.5,167.1710526,Asia
7354.0,PH,Manila,Line 5,2019.0,2025.0,0.0,11.0,100.0,10.0,2500.0,USD,2022.0,2.66,6650.0,604.5454545,Asia
7355.0,PH,Manila,Line 4,2021.0,2025.0,0.0,15.6,0.0,11.0,59300.0,PHP,2023.0,0.055,3261.5,209.0705128,Asia
7360.0,AT,Vienna,Line 2 extension,2010.0,2013.0,0.0,4.2,0.0,3.0,320.0,EUR,2012.0,1.3,416.0,99.04761905,Europe
7361.0,AT,Vienna,Line 1 extension,2012.0,2017.0,0.0,4.7,57.0,5.0,600.0,EUR,2015.0,1.3,780.0,165.9574468,Europe
7362.0,AT,Vienna,U2/U5 cross,2019.0,2029.0,0.0,9.0,100.0,11.0,2200.0,EUR,2023.0,1.3,2860.0,317.7777778,Europe
7363.0,IN,Kochi,Metro,2013.0,2017.0,0.0,13.0,0.0,11.0,51810.0,INR,2015.0,0.052,2694.12,207.24,Asia
7368.0,IN,Delhi,Phase 3,2012.0,2020.0,0.0,160.6,33.0,109.0,410790.0,INR,2016.0,0.05,20539.5,127.892279,Asia
7369.0,IN,Delhi,Phase 4 first half,2019.0,2025.0,0.0,61.7,36.0,46.0,249487.0,INR,2022.0,0.047,11725.8655,190.0464425,Asia
7370.0,IN,Delhi,Phase 4 second half,2019.0,2025.0,0.0,42.3,35.0,43.0,215364.0,INR,2022.0,0.047,10122.0845,239.2927778,Asia
7371.0,IR,Tehran,Line 3 extension to SW,2012.0,2014.0,0.0,12.0,100.0,11.0,20000000.0,IRR,2013.0,0.00012,2400.0,200.0,Asia
7376.0,IR,Tehran,Line 6,2015.0,2020.0,0.0,31.0,100.0,29.0,90000000.0,IRR,2017.0,6.4e-05,5760.0,185.8064516,Asia
7377.0,IR,Tehran,Line 7,2015.0,2019.0,0.0,27.0,100.0,25.0,90000000.0,IRR,2017.0,6.4e-05,5760.0,213.3333333,Asia
7378.0,ES,Madrid,1995-98 program,1995.0,1998.0,0.0,56.0,68.0,37.0,1579.0,EUR,1997.0,1.25,1973.75,35.24553571,Europe
7379.0,ES,Madrid,1999-2003 program,1999.0,2003.0,0.0,75.0,77.0,39.0,3157.0,EUR,2001.0,1.25,3946.25,52.61666667,Europe
7384.0,PT,Lisbon,Circular line,2021.0,2023.0,0.0,2.0,100.0,2.0,216.0,EUR,2021.0,1.3,280.8,140.4,Europe
7385.0,PT,Porto,"Pink line, yellow line",2019.0,2023.0,0.0,6.0,47.0,7.0,308.0,EUR,2021.0,1.3,400.4,66.73333333,Europe
7386.0,ES,Madrid,Eje Transversal,2020.0,2028.0,1.0,10.5,100.0,4.0,760.0,EUR,2024.0,1.3,988.0,94.0952381,Europe
7387.0,ES,Madrid,Line 2 extension,2008.0,2011.0,0.0,4.6,100.0,4.0,315.0,EUR,2010.0,1.3,409.5,89.02173913,Europe
7392.0,ES,Madrid,Line 9 extension,2009.0,2015.0,0.0,3.0,100.0,2.0,191.0,EUR,2012.0,1.3,248.3,82.76666667,Europe
7393.0,EC,Quito,Metro,2012.0,2019.0,0.0,22.9,100.0,15.0,2010.0,USD,2016.0,1.9,3819.0,166.768559,South America
7394.0,ES,Madrid,Chamartin-Atocha tunnel,2003.0,2008.0,1.0,7.5,100.0,3.0,550.0,EUR,2006.0,1.25,687.5,91.66666667,Europe
